size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,400000000000;1,743559577416;124750,000000000000;0,000000000000;500,000000000000;0,000000000000
1000;1,100000000000;1,868154169227;499500,000000000000;0,000000000000;1000,000000000000;0,000000000000
1500;2,700000000000;3,479942528261;1124250,000000000000;0,000000000000;1500,000000000000;0,000000000000
2000;4,700000000000;2,740437921209;1999000,000000000000;0,000000000000;2000,000000000000;0,000000000000
2500;6,850000000000;2,920188350090;3123750,000000000000;0,000000000000;2500,000000000000;0,000000000000
3000;9,850000000000;3,395217224273;4498500,000000000000;0,000000000000;3000,000000000000;0,000000000000
3500;14,500000000000;4,432832051860;6123250,000000000000;0,000000000000;3500,000000000000;0,000000000000
4000;19,600000000000;3,746998799039;7998000,000000000000;0,000000000000;4000,000000000000;0,000000000000
4500;25,500000000000;2,539685019840;10122750,000000000000;0,000000000000;4500,000000000000;0,000000000000
5000;33,850000000000;2,495495942694;12497500,000000000000;0,000000000000;5000,000000000000;0,000000000000
5500;40,450000000000;0,668954408013;15122250,000000000000;0,000000000000;5500,000000000000;0,000000000000
6000;49,150000000000;1,351850583460;17997000,000000000000;0,000000000000;6000,000000000000;0,000000000000
6500;59,000000000000;1,140175425099;21121750,000000000000;0,000000000000;6500,000000000000;0,000000000000
7000;70,450000000000;1,116915395184;24496500,000000000000;0,000000000000;7000,000000000000;0,000000000000
7500;80,050000000000;2,692118125194;28121250,000000000000;0,000000000000;7500,000000000000;0,000000000000
8000;91,950000000000;3,653423052427;31996000,000000000000;0,000000000000;8000,000000000000;0,000000000000
8500;106,550000000000;2,635811070620;36120750,000000000000;0,000000000000;8500,000000000000;0,000000000000
9000;121,150000000000;4,304358256465;40495500,000000000000;0,000000000000;9000,000000000000;0,000000000000
9500;132,700000000000;4,267317658669;45120250,000000000000;0,000000000000;9500,000000000000;0,000000000000
10000;150,650000000000;6,239190652640;49995000,000000000000;0,000000000000;10000,000000000000;0,000000000000
