size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,350000000000;1,314343942809;124750,000000000000;0,000000000000;0,000000000000;0,000000000000
1000;2,100000000000;0,700000000000;499500,000000000000;0,000000000000;0,000000000000;0,000000000000
1500;4,750000000000;3,960744879439;1124250,000000000000;0,000000000000;0,000000000000;0,000000000000
2000;8,700000000000;1,676305461424;1999000,000000000000;0,000000000000;0,000000000000;0,000000000000
2500;13,650000000000;3,636963018784;3123750,000000000000;0,000000000000;0,000000000000;0,000000000000
3000;19,400000000000;3,136877428272;4498500,000000000000;0,000000000000;0,000000000000;0,000000000000
3500;29,300000000000;3,067572330036;6123250,000000000000;0,000000000000;0,000000000000;0,000000000000
4000;35,900000000000;3,128897569432;7998000,000000000000;0,000000000000;0,000000000000;0,000000000000
4500;45,750000000000;3,713152299597;10122750,000000000000;0,000000000000;0,000000000000;0,000000000000
5000;57,900000000000;3,345145736735;12497500,000000000000;0,000000000000;0,000000000000;0,000000000000
5500;69,150000000000;0,572276157114;15122250,000000000000;0,000000000000;0,000000000000;0,000000000000
6000;82,100000000000;0,768114574784;17997000,000000000000;0,000000000000;0,000000000000;0,000000000000
6500;96,950000000000;0,920597631976;21121750,000000000000;0,000000000000;0,000000000000;0,000000000000
7000;112,200000000000;1,029563014099;24496500,000000000000;0,000000000000;0,000000000000;0,000000000000
7500;129,250000000000;1,134680571789;28121250,000000000000;0,000000000000;0,000000000000;0,000000000000
8000;140,750000000000;2,255548713727;31996000,000000000000;0,000000000000;0,000000000000;0,000000000000
8500;159,650000000000;4,210403781112;36120750,000000000000;0,000000000000;0,000000000000;0,000000000000
9000;179,150000000000;2,815581645062;40495500,000000000000;0,000000000000;0,000000000000;0,000000000000
9500;199,800000000000;4,081666326390;45120250,000000000000;0,000000000000;0,000000000000;0,000000000000
10000;224,200000000000;5,436910887628;49995000,000000000000;0,000000000000;0,000000000000;0,000000000000
