size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,350000000000;1,525614630239;16302,200000000000;482,619270232711;1371,850000000000;13,207100363053
1000;0,000000000000;0,000000000000;57093,450000000004;661,866789844876;2773,350000000000;20,528699423031
1500;0,400000000000;1,743559577416;123397,450000000000;866,269211908081;4166,100000000001;31,707885454401
2000;0,200000000000;0,400000000000;214066,550000000000;1204,565584556341;5563,100000000000;33,445328522772
2500;0,400000000000;1,743559577416;330834,400000000000;1830,729182592646;6949,900000000000;52,852530686884
3000;1,100000000000;2,643860813280;472681,650000000000;2794,192267446841;8347,150000000001;61,929213623350
3500;1,150000000000;2,393219588755;637708,399999999900;2288,753097250409;9720,700000000003;83,005481746399
4000;1,800000000000;1,777638883463;830175,200000000100;3611,153480515452;11118,750000000000;75,415432770733
4500;1,300000000000;1,144552314226;1045311,550000000000;2907,236066672826;12550,850000000002;93,294305828147
5000;2,400000000000;3,666060555965;1287135,350000000000;3128,240723969243;13893,350000000002;112,838944960853
5500;2,900000000000;2,211334438750;1552370,400000000000;3363,492506431419;15325,300000000001;121,881130614755
6000;2,350000000000;3,511053972812;1843033,750000000000;3460,256578190996;16769,800000000003;77,610308592964
6500;4,000000000000;4,000000000000;2159883,000000000500;5601,035279146364;18147,600000000002;142,111716617420
7000;4,350000000000;3,811495769380;2502878,350000000600;5481,410450188665;19423,600000000002;202,766713244491
7500;4,750000000000;3,753331853167;2868227,950000000700;4971,615335574734;20926,600000000000;146,485630694895
8000;5,200000000000;3,815756805668;3258736,350000000000;3960,346352090386;22288,750000000000;144,619111807740
8500;6,300000000000;3,001666203961;3673368,150000000000;3289,924425958083;23684,100000000000;206,153316733098
9000;7,100000000000;2,718455443814;4117307,200000000000;6894,618666513807;25071,450000000000;222,903448829287
9500;8,800000000000;2,638181191655;4585974,250000000000;7693,340073614402;26521,949999999997;200,647570381479
10000;8,100000000000;2,700000000000;5072276,550000001000;5656,654668535326;27956,150000000000;140,663170374547
