size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,050000000000;0,217944947177;7121,500000000000;182,999316938636;1418,050000000000;16,948377503447
1000;0,100000000000;0,300000000000;16256,049999999997;862,395470477483;3060,550000000000;36,011768909598
1500;0,000000000000;0,000000000000;25876,499999999996;777,214224007954;4772,499999999999;31,957002362608
2000;0,100000000000;0,300000000000;35922,799999999996;650,042275548504;6550,049999999999;53,516796428849
2500;0,200000000000;0,400000000000;46937,649999999994;1216,811788034522;8383,750000000000;67,279175827272
3000;0,100000000000;0,300000000000;57886,199999999990;1403,792990437402;10265,700000000000;68,801235453911
3500;0,200000000000;0,400000000000;69220,600000000000;1854,187730516637;12117,900000000003;90,236854997879
4000;0,250000000000;0,433012701892;80052,450000000000;1570,704856903252;14053,349999999999;86,941517700379
4500;0,350000000000;0,476969600708;91156,950000000000;2623,745823722085;16023,700000000000;121,826967457713
5000;0,400000000000;0,489897948557;103625,800000000020;2918,833921276984;17930,899999999998;101,507093348775
5500;0,450000000000;0,497493718553;115584,050000000000;4661,769733427490;19871,250000000004;193,335944665872
6000;0,500000000000;0,500000000000;124917,299999999990;3592,467496025676;21922,200000000004;186,022740544645
6500;0,500000000000;0,500000000000;137127,450000000000;4862,989147375377;23882,750000000000;180,002465260697
7000;0,550000000000;0,497493718553;150280,399999999970;4142,408893387263;25919,700000000004;207,412897380505
7500;0,600000000000;0,489897948557;160740,800000000020;5203,134570621154;27956,850000000000;170,629210570716
8000;0,600000000000;0,489897948557;173502,949999999950;4398,807048225826;29996,200000000000;166,586193905494
8500;0,800000000000;0,509901951359;186614,850000000000;5488,510802348793;32027,350000000002;216,415867024270
9000;0,750000000000;0,433012701892;199644,349999999980;6004,025943273727;34036,549999999996;234,979036300081
9500;1,000000000000;0,632455532034;209071,400000000020;4107,701977991257;36217,950000000000;267,276163359870
10000;0,800000000000;0,600000000000;224661,150000000000;5859,032285924615;38223,250000000000;176,285811964548
