size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,100000000000;0,300000000000;5815,450000000000;403,687809451814;663,900000000000;10,439827584777
1000;0,050000000000;0,217944947177;12904,200000000000;587,175919124756;1334,300000000000;10,242558274189
1500;0,050000000000;0,217944947177;20808,199999999997;1243,153272931428;2001,200000000000;17,313578486257
2000;0,050000000000;0,217944947177;28119,149999999998;1246,976754995871;2670,000000000000;17,731328207425
2500;0,050000000000;0,217944947177;36733,450000000000;1820,343799258847;3338,800000000000;18,026646942660
3000;0,150000000000;0,357071421427;45314,400000000010;1707,512266427141;4008,000000000000;22,315913604463
3500;0,100000000000;0,300000000000;52880,600000000006;1706,426775457629;4667,200000000001;23,928226010116
4000;0,100000000000;0,300000000000;62589,300000000000;3012,221125681124;5333,300000000000;30,576298010062
4500;0,100000000000;0,300000000000;70966,550000000000;2261,594978659939;6002,699999999999;26,946428335019
5000;0,150000000000;0,357071421427;79925,000000000000;2763,315291456916;6673,400000000000;27,247752200963
5500;0,100000000000;0,300000000000;87644,450000000000;2327,099384964168;7339,500000000000;34,063910521276
6000;0,250000000000;0,433012701892;97683,349999999990;3206,038432006044;8001,000000000000;34,505072090948
6500;0,100000000000;0,300000000000;106243,950000000000;3398,238683127320;8675,100000000000;28,322958884670
7000;0,250000000000;0,433012701892;116732,650000000000;3694,273437023973;9344,400000000001;34,290523472071
7500;0,400000000000;0,489897948557;127128,500000000000;3229,057610201347;10005,699999999999;43,969421192488
8000;0,200000000000;0,400000000000;135174,800000000020;4808,787285792129;10657,200000000000;33,474766615878
8500;0,300000000000;0,458257569496;146219,150000000000;6568,843264038151;11322,100000000000;48,230591951557
9000;0,250000000000;0,433012701892;156614,600000000030;6851,343491607449;12006,400000000001;35,931045071526
9500;0,300000000000;0,458257569496;166213,300000000000;6117,192306115846;12662,700000000000;47,202860082674
10000;0,450000000000;0,497493718553;176888,550000000000;6781,081480671385;13330,199999999999;38,392186705606
