size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,350000000000;1,525614630239;16155,950000000000;287,886692120256;1369,000000000000;9,934787365578
1000;0,000000000000;0,000000000000;57516,650000000000;656,732386516950;2768,299999999999;21,610414156245
1500;0,400000000000;1,743559577416;123564,599999999990;1049,863248238579;4161,349999999999;37,059782784115
2000;0,150000000000;0,357071421427;215048,500000000000;2025,307791423695;5553,900000000001;52,028742056587
2500;0,400000000000;1,019803902719;330801,600000000100;1966,807524886602;6941,450000000000;57,109084216068
3000;0,800000000000;2,400000000000;471947,200000000000;1973,813126922041;8348,150000000001;81,338966676242
3500;1,150000000000;2,743628983664;639175,450000000000;2677,239015769529;9710,199999999997;61,323404993910
4000;1,100000000000;1,868154169227;827959,750000000100;1777,523329629721;11157,850000000000;81,788920398851
4500;2,000000000000;3,464101615138;1045019,950000000100;2719,545559024048;12540,300000000000;69,579522849989
5000;1,600000000000;3,200000000000;1286976,450000000000;5028,051913798381;13932,600000000002;99,860602841792
5500;1,950000000000;3,232259271779;1553883,900000000400;4674,586953782822;15298,850000000000;112,121039506276
6000;3,600000000000;3,979949748426;1844155,250000000000;6436,101707323442;16731,300000000000;120,840845743442
6500;3,550000000000;3,800986713999;2159115,200000000000;4126,531613619739;18110,800000000003;121,060150338099
7000;4,600000000000;3,411744421846;2501324,449999999700;4480,951266084406;19487,850000000000;131,406725475072
7500;4,750000000000;4,035777496344;2867100,050000000000;4207,109559856127;20889,800000000000;131,832697006525
8000;5,400000000000;3,088689042296;3260779,450000000000;7443,755318795329;22308,550000000000;128,237465274723
8500;5,950000000000;3,470950878362;3673753,550000000300;7020,774625620025;23708,549999999996;202,577263038705
9000;7,500000000000;1,802775637732;4115903,400000000000;7031,352916746801;25079,750000000004;191,590415991223
9500;8,800000000000;2,400000000000;4584527,900000000000;7133,944132576226;26544,000000000004;174,707755980079
10000;9,450000000000;3,338787204959;5073849,650000001000;6205,919610415325;27906,699999999997;195,576864685425
