size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,200000000000;0,871779788708;6225,700000000000;315,895726466843;915,800000000000;9,719053451858
1000;0,000000000000;0,000000000000;13604,849999999999;414,049667914439;1825,350000000000;12,321830221145
1500;0,100000000000;0,435889894354;22139,200000000000;1473,886820620870;2747,600000000000;14,783098457298
2000;0,400000000000;1,743559577416;30233,000000000000;1082,640983890782;3667,200000000000;12,424169992299
2500;0,000000000000;0,000000000000;39616,750000000010;1672,961800968498;4575,950000000000;17,243766989847
3000;0,300000000000;1,100000000000;48415,899999999994;1681,567747669011;5490,150000000000;19,660302642536
3500;0,400000000000;1,743559577416;56790,550000000000;1864,586588898472;6405,000000000000;17,700282483958
4000;0,000000000000;0,000000000000;66174,700000000000;3103,483028792135;7328,650000000000;27,554083182244
4500;0,400000000000;1,743559577416;75007,900000000010;3166,955634359095;8245,950000000000;30,045756771755
5000;0,400000000000;1,743559577416;86842,150000000000;4355,721895105548;9161,650000000000;29,957094318783
5500;0,200000000000;0,400000000000;94102,550000000000;4597,391689588559;10079,850000000000;30,070375787337
6000;0,400000000000;1,743559577416;103616,899999999980;3723,608463574492;10998,150000000000;34,488077650032
6500;0,800000000000;2,400000000000;116228,000000000000;5018,652388839174;11894,500000000000;23,189437250610
7000;0,200000000000;0,600000000000;124599,300000000020;4216,923251613334;12822,149999999998;30,082012899225
7500;0,800000000000;2,400000000000;135305,000000000000;5362,940229015956;13749,099999999999;26,683140744851
8000;0,800000000000;2,400000000000;143639,150000000000;5304,202100928835;14658,949999999999;35,594205989881
8500;0,400000000000;1,743559577416;153671,650000000000;4746,473662362905;15585,699999999997;41,611416703233
9000;0,850000000000;2,393219588755;165108,850000000000;6420,731697205260;16500,100000000002;39,022941968825
9500;0,400000000000;1,743559577416;173957,800000000020;3902,717214966520;17417,299999999996;39,265888505439
10000;1,200000000000;2,731300056750;183127,450000000040;4654,068773394699;18340,400000000000;36,734724716508
