size;time;timeDeviation;comparisons;comparisonsDeviation;swaps;swapsDeviation
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
500;0,000000000000;0,000000000000;7239,950000000001;232,207337308665;1416,900000000000;19,018149226455
1000;0,050000000000;0,217944947177;16453,450000000000;642,903295605162;3049,750000000000;27,101429851626
1500;0,100000000000;0,300000000000;26199,449999999997;878,843983594393;4784,450000000000;33,420764503548
2000;0,200000000000;0,400000000000;35973,999999999990;790,993868497517;6570,400000000001;32,908053725345
2500;0,200000000000;0,509901951359;46812,649999999994;1426,912515713847;8384,300000000001;86,220705169702
3000;0,150000000000;0,357071421427;56778,250000000000;1142,421326612993;10272,800000000001;67,016117464134
3500;0,250000000000;0,433012701892;69097,450000000000;1996,660674100596;12112,500000000000;76,554229144591
4000;0,250000000000;0,433012701892;79697,400000000010;1998,976373046717;14088,750000000000;94,503902035590
4500;0,300000000000;0,458257569496;91280,900000000010;2372,671466933093;15979,800000000000;127,030547507362
5000;0,300000000000;0,458257569496;101938,150000000000;3276,078254178449;17983,449999999997;128,875705624100
5500;0,400000000000;0,489897948557;113734,799999999990;3926,383356220090;19903,250000000000;191,250065359559
6000;0,350000000000;0,476969600708;127561,849999999990;3849,349507059919;21824,550000000000;149,614997577441
6500;0,750000000000;0,433012701892;138290,700000000000;3916,546490212523;23945,649999999998;177,488668652624
7000;0,550000000000;0,497493718553;149531,850000000000;4130,976389124208;25932,750000000000;230,121897046099
7500;0,500000000000;0,500000000000;163021,200000000040;5315,031313170728;27871,450000000000;251,362183909972
8000;0,550000000000;0,497493718553;173501,450000000040;3461,685376732528;29985,900000000000;171,170645847896
8500;0,700000000000;0,640312423743;186841,050000000000;4809,074760025661;31978,299999999996;228,884927420528
9000;0,850000000000;0,476969600708;199589,599999999980;5524,597029649456;34036,100000000006;225,966568321845
9500;0,950000000000;0,497493718553;212554,900000000000;6902,723092375327;36088,100000000000;286,035120221543
10000;0,800000000000;0,678232998313;223792,400000000020;4530,922217384021;38226,950000000000;157,942228362719
